season,njcaa_division,team,team_id,location,opponent,result,score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,14-4,20230511_0wiv,11,42.0,31.0,14.0,12.0,4.0,0.0,2.0,13.0,2.0,0.0,7.0,4.0,22.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,,0.387,0.5,0.903,1.403,126.0,0.37,0.632,0.048,0.095,0.167,-0.072,1.75
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,18-12,20230331_0k5w,13,55.0,35.0,18.0,19.0,4.0,1.0,3.0,16.0,3.0,0.0,7.0,8.0,34.0,12.0,0.0,1.0,8.0,0.0,0.0,0.0,,0.543,0.691,1.2,1.891,170.0,0.64,0.429,0.055,0.145,0.127,0.018,0.875
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,7-0,20230329_7yrx,12,37.0,29.0,7.0,8.0,1.0,1.0,1.0,7.0,0.0,1.0,4.0,5.0,14.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.276,0.405,0.586,0.991,89.0,0.292,0.429,0.027,0.135,0.108,0.027,0.8
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,8-6,20230331_d15a,11,40.0,33.0,8.0,12.0,5.0,0.0,3.0,8.0,2.0,0.0,3.0,8.0,26.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.364,0.475,1.03,1.505,135.0,0.409,0.312,0.075,0.2,0.075,0.125,0.375
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,8-6,20230426_n95x,11,41.0,33.0,8.0,9.0,3.0,0.0,1.0,8.0,0.0,0.0,4.0,5.0,15.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.273,0.39,0.576,0.966,87.0,0.286,0.467,0.024,0.122,0.098,0.024,0.8
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,W,12-1,20230415_4ai1,13,35.0,26.0,12.0,9.0,1.0,1.0,1.0,8.0,2.0,2.0,4.0,6.0,15.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.346,0.514,0.692,1.206,108.0,0.421,0.647,0.029,0.171,0.114,0.057,0.667
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,W,8-7,20230412_q05m,12,41.0,35.0,8.0,12.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,5.0,14.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.343,0.39,0.457,0.847,76.0,0.387,0.5,0.0,0.122,0.024,0.098,0.2
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Florida State Jacksonville,W,11-3,20230307_7uzq,16,38.0,29.0,11.0,8.0,1.0,0.0,2.0,9.0,3.0,0.0,3.0,6.0,15.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.276,0.421,0.621,1.042,94.0,0.273,0.643,0.053,0.158,0.079,0.079,0.5
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,W,10-9,20230325_ecpu,11,38.0,29.0,10.0,9.0,3.0,0.0,3.0,9.0,0.0,0.0,6.0,7.0,21.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,,0.31,0.447,0.931,1.378,124.0,0.3,0.5,0.079,0.184,0.158,0.026,0.857
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,W,8-7,20230325_upq2,11,39.0,33.0,8.0,10.0,3.0,0.0,3.0,8.0,0.0,1.0,3.0,5.0,22.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.303,0.41,0.848,1.258,113.0,0.28,0.385,0.077,0.128,0.077,0.051,0.6
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,11-6,20230422_m2d5,12,36.0,28.0,11.0,11.0,3.0,0.0,2.0,11.0,0.0,0.0,5.0,5.0,20.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.393,0.528,0.893,1.421,128.0,0.429,0.529,0.056,0.139,0.139,0.0,1.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,14-13,20230510_2qu3,13,57.0,43.0,14.0,15.0,6.0,0.0,1.0,11.0,12.0,0.0,11.0,9.0,24.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,,0.349,0.491,0.721,1.212,109.0,0.412,0.481,0.018,0.158,0.193,-0.035,1.222
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,15-6,20230422_77p0,12,38.0,29.0,15.0,16.0,3.0,0.0,1.0,13.0,1.0,1.0,4.0,3.0,22.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.552,0.632,0.897,1.529,137.0,0.577,0.609,0.026,0.079,0.105,-0.026,1.333
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,19-7,20230420_8b5s,17,44.0,35.0,19.0,15.0,1.0,0.0,1.0,15.0,1.0,0.0,6.0,3.0,19.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.429,0.545,0.6,1.145,103.0,0.452,0.783,0.023,0.068,0.136,-0.068,2.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,6-4,20230504_506s,11,40.0,31.0,6.0,7.0,0.0,0.0,0.0,6.0,3.0,2.0,5.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.226,0.4,0.226,0.626,56.0,0.318,0.375,0.0,0.225,0.125,0.1,0.556
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Jackson,W,17-0,20230309_q5gi,14,34.0,24.0,17.0,12.0,3.0,0.0,2.0,15.0,3.0,0.0,6.0,0.0,21.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,,0.5,0.618,1.083,1.701,153.0,0.435,0.789,0.059,0.0,0.176,-0.176,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Jackson,W,5-4,20230309_1xkc,11,30.0,24.0,5.0,7.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.292,0.4,0.292,0.692,62.0,0.35,0.417,0.0,0.133,0.167,-0.034,1.25
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,W,9-1,20230204_2wxu,19,64.0,45.0,12.0,13.0,5.0,0.0,1.0,9.0,3.0,1.0,14.0,10.0,21.0,4.0,0.0,1.0,6.0,0.0,5.0,17.0,0.294,0.289,0.484,0.6,1.084,97.0,0.343,0.367,0.016,0.156,0.219,-0.063,1.4
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,W,9-1,20230205_qqd4,14,46.0,35.0,12.0,15.0,6.0,0.0,1.0,10.0,1.0,0.0,8.0,6.0,24.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,,0.429,0.522,0.886,1.408,127.0,0.467,0.478,0.022,0.13,0.174,-0.044,1.333
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Scoutz Post Grad,W,13-1,20230317_2yqn,15,30.0,24.0,13.0,11.0,1.0,0.0,1.0,12.0,4.0,0.0,3.0,5.0,15.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.458,0.567,0.708,1.275,115.0,0.556,0.75,0.033,0.167,0.1,0.067,0.6
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Scoutz Post Grad,W,4-3,20230317_9uk3,14,37.0,26.0,4.0,7.0,3.0,0.0,0.0,4.0,2.0,0.0,9.0,6.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.269,0.486,0.5,0.986,89.0,0.35,0.222,0.0,0.162,0.243,-0.081,1.5
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,19-8,20230510_ak47,12,49.0,35.0,19.0,16.0,2.0,1.0,1.0,19.0,4.0,0.0,4.0,7.0,23.0,8.0,0.0,2.0,4.0,0.0,0.0,0.0,,0.457,0.571,0.771,1.342,121.0,0.517,0.667,0.02,0.143,0.082,0.061,0.571
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,2-0,20230406_19o2,10,29.0,27.0,2.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.259,0.276,0.481,0.757,68.0,0.3,0.143,0.034,0.207,0.034,0.173,0.167
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,7-1,20230406_n9f3,11,30.0,23.0,7.0,6.0,1.0,0.0,1.0,6.0,1.0,1.0,4.0,5.0,10.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.261,0.4,0.522,0.922,83.0,0.278,0.545,0.033,0.167,0.133,0.034,0.8
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Tallahassee,W,7-2,20230304_1q9m,11,30.0,28.0,7.0,10.0,3.0,0.0,1.0,7.0,4.0,1.0,2.0,5.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.357,0.4,0.714,1.114,100.0,0.409,0.545,0.033,0.167,0.067,0.1,0.4
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Thomas University JV,W,11-0,20230315_ed3r,15,30.0,19.0,11.0,7.0,2.0,0.0,0.0,9.0,2.0,0.0,10.0,3.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.368,0.6,0.579,1.179,106.0,0.438,0.611,0.0,0.1,0.333,-0.233,3.333
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Thomas University JV,W,16-1,20230315_9o02,15,32.0,22.0,16.0,13.0,5.0,0.0,3.0,15.0,4.0,0.0,8.0,3.0,27.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,,0.591,0.656,1.591,2.247,202.0,0.556,0.722,0.094,0.094,0.25,-0.156,2.667
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,W,11-0,20230214_xktu,16,47.0,40.0,14.0,14.0,3.0,1.0,0.0,11.0,0.0,0.0,3.0,3.0,19.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.35,0.426,0.575,1.001,90.0,0.368,0.7,0.0,0.064,0.064,0.0,1.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,W,12-1,20230220_g0pc,14,42.0,20.0,15.0,6.0,2.0,0.0,0.0,14.0,7.0,0.0,9.0,1.0,8.0,9.0,0.0,4.0,2.0,0.0,0.0,0.0,,0.3,0.571,0.5,1.071,96.0,0.261,0.625,0.0,0.024,0.214,-0.19,9.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,USC Salkehatchie,W,6-2,20230220_wtu6,17,51.0,36.0,12.0,15.0,5.0,0.0,0.0,8.0,0.0,0.0,7.0,4.0,20.0,6.0,0.0,2.0,5.0,0.0,0.0,0.0,,0.417,0.549,0.694,1.243,112.0,0.441,0.429,0.0,0.078,0.137,-0.059,1.75
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Wallace-Dothan,W,10-5,20230313_wvw3,11,38.0,27.0,10.0,10.0,2.0,0.0,0.0,9.0,0.0,1.0,7.0,5.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.37,0.553,0.519,1.072,96.0,0.455,0.476,0.0,0.132,0.184,-0.052,1.4
2023,div1,Allen County,allencountycommunitycollege,home,Baker University,W,4-3,20230328_v5sl,14,33.0,22.0,4.0,5.0,1.0,0.0,0.0,4.0,6.0,0.0,5.0,5.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.227,0.394,0.318,0.712,64.0,0.278,0.308,0.0,0.152,0.152,0.0,1.0
2023,div1,Allen County,allencountycommunitycollege,home,Baker University,W,5-2,20230222_pb85,12,34.0,28.0,5.0,7.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,9.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.25,0.382,0.464,0.846,76.0,0.333,0.333,0.029,0.265,0.118,0.147,0.444
2023,div1,Allen County,allencountycommunitycollege,home,Baker University,W,6-3,20230222_3cug,15,36.0,21.0,6.0,4.0,1.0,0.0,0.0,4.0,4.0,3.0,8.0,8.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.19,0.472,0.286,0.758,68.0,0.286,0.353,0.0,0.222,0.222,0.0,1.0
2023,div1,Allen County,allencountycommunitycollege,home,Butler,W,7-6,20230510_lujh,12,40.0,35.0,7.0,11.0,2.0,0.0,1.0,7.0,3.0,0.0,3.0,9.0,16.0,1.0,1.0,0.0,3.0,1.0,10.0,6.0,1.667,0.314,0.375,0.543,0.918,82.0,0.4,0.429,0.025,0.225,0.075,0.15,0.333
2023,div1,Allen County,allencountycommunitycollege,home,Coffeyville,W,1-0,20230422_3ust,10,27.0,18.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,,0.111,0.296,0.222,0.518,47.0,0.133,0.125,0.0,0.148,0.111,0.037,0.75
2023,div1,Allen County,allencountycommunitycollege,home,Cowley,W,7-6,20230325_mbry,12,35.0,28.0,7.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,8.0,11.0,2.0,1.0,0.0,1.0,0.0,5.0,5.0,1.0,0.357,0.457,0.429,0.886,80.0,0.5,0.438,0.0,0.229,0.114,0.115,0.5
2023,div1,Allen County,allencountycommunitycollege,home,Crowley's Ridge College JV,W,14-4,20230403_zjl5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,home,East Central (MS),W,2-1,20230204_yujx,7,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2023,div1,Allen County,allencountycommunitycollege,home,Fort Scott,W,23-13,20230413_w0io,13,56.0,34.0,23.0,13.0,2.0,0.0,3.0,20.0,2.0,0.0,14.0,9.0,24.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,,0.382,0.589,0.853,1.442,130.0,0.435,0.667,0.054,0.161,0.25,-0.089,1.556
2023,div1,Allen County,allencountycommunitycollege,home,Fort Scott,W,6-5,20230413_53sl,11,30.0,25.0,6.0,7.0,1.0,1.0,4.0,6.0,1.0,0.0,3.0,5.0,22.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.28,0.4,1.12,1.52,137.0,0.188,0.25,0.133,0.167,0.1,0.067,0.6
2023,div1,Allen County,allencountycommunitycollege,home,Highland (KS),W,13-3,20230310_jolg,10,36.0,28.0,13.0,15.0,4.0,0.0,0.0,11.0,8.0,0.0,3.0,3.0,19.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,,0.536,0.583,0.821,1.404,126.0,0.577,0.619,0.0,0.083,0.083,0.0,1.0
2023,div1,Allen County,allencountycommunitycollege,home,Highland (KS),W,3-2,20230312_cmz5,11,24.0,22.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.227,0.292,0.227,0.519,47.0,0.278,0.429,0.0,0.167,0.083,0.084,0.5
2023,div1,Allen County,allencountycommunitycollege,home,Highland (KS),W,4-3,20230310_9oat,15,44.0,26.0,4.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,12.0,9.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.115,0.386,0.115,0.501,45.0,0.167,0.235,0.0,0.205,0.273,-0.068,1.333
2023,div1,Allen County,allencountycommunitycollege,home,Highland (KS),W,7-4,20230312_ar1w,12,41.0,28.0,7.0,5.0,1.0,0.0,0.0,3.0,6.0,1.0,11.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.179,0.439,0.25,0.689,62.0,0.217,0.389,0.0,0.122,0.268,-0.146,2.2
2023,div1,Allen County,allencountycommunitycollege,home,Johnson County,W,8-0,20230330_8flz,12,41.0,31.0,8.0,11.0,1.0,1.0,2.0,8.0,1.0,0.0,5.0,6.0,20.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,,0.355,0.463,0.774,1.237,111.0,0.375,0.353,0.049,0.146,0.122,0.024,0.833
2023,div1,Allen County,allencountycommunitycollege,home,Johnson County,W,8-7,20230401_8pu3,13,37.0,26.0,8.0,8.0,5.0,0.0,0.0,6.0,2.0,1.0,7.0,6.0,13.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,,0.308,0.459,0.692,1.151,103.0,0.381,0.471,0.0,0.162,0.189,-0.027,1.167
2023,div1,Allen County,allencountycommunitycollege,home,Kansas City Kansas,W,3-2,20230427_g2r4,11,28.0,23.0,3.0,6.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,11.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,,0.261,0.321,0.609,0.93,84.0,0.294,0.25,0.036,0.214,0.0,0.214,0.0
2023,div1,Allen County,allencountycommunitycollege,home,Labette,W,16-5,20230406_8sgn,10,56.0,32.0,16.0,12.0,1.0,1.0,1.0,13.0,3.0,1.0,13.0,5.0,18.0,6.0,3.0,2.0,3.0,0.0,0.0,0.0,,0.375,0.554,0.656,1.21,109.0,0.393,0.5,0.018,0.089,0.232,-0.143,2.6
2023,div1,Allen County,allencountycommunitycollege,home,Lawson State,W,5-2,20230225_h2e1,7,21.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.667,0.0,0.667,0.0
2023,div1,Allen County,allencountycommunitycollege,home,Metropolitan,W,10-2,20230407_gs54,7,28.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.75,0.0,0.75,67.0,0.0,0.667,0.0,0.0,0.5,-0.5,
2023,div1,Allen County,allencountycommunitycollege,home,Missouri Valley College JV,W,10-0,20230307_7nv1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,home,Missouri Valley College JV,W,8-0,20230307_o502,7,28.0,14.0,0.0,7.0,7.0,0.0,0.0,14.0,0.0,0.0,7.0,7.0,14.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.5,0.75,1.5,2.25,202.0,1.0,0.0,0.0,0.25,0.25,0.0,1.0
2023,div1,Allen County,allencountycommunitycollege,home,Neosho County,W,6-0,20230317_2zx1,10,28.0,27.0,6.0,11.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.407,0.429,0.63,1.059,95.0,0.5,0.5,0.0,0.179,0.036,0.143,0.2
2023,div1,Allen County,allencountycommunitycollege,home,North Iowa Area,W,6-5,20230219_3ipw,13,35.0,23.0,6.0,5.0,1.0,0.0,0.0,6.0,2.0,0.0,10.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.217,0.486,0.304,0.79,71.0,0.294,0.353,0.0,0.171,0.286,-0.115,1.667
2023,div1,Allen County,allencountycommunitycollege,home,North Iowa Area,W,6-5,20230220_0fe4,14,53.0,38.0,6.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,5.0,14.0,8.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,,0.132,0.245,0.263,0.508,46.0,0.185,0.462,0.0,0.264,0.094,0.17,0.357
2023,div1,Allen County,allencountycommunitycollege,home,Northeast,W,5-0,20230211_40tg,10,28.0,24.0,5.0,8.0,1.0,0.0,1.0,5.0,3.0,1.0,2.0,6.0,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.333,0.393,0.583,0.976,88.0,0.412,0.4,0.036,0.214,0.071,0.143,0.333
2023,div1,Allen County,allencountycommunitycollege,home,Northwest-Shoals Community College,W,24-1,20230217_6av9,7,35.0,14.0,21.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.8,0.5,1.3,117.0,0.5,0.75,0.0,0.0,0.4,-0.4,
2023,div1,Allen County,allencountycommunitycollege,home,Northwest-Shoals Community College,W,7-2,20230218_u93p,7,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2023,div1,Allen County,allencountycommunitycollege,home,Ottawa University,W,1-0,20230301_1twm,14,28.0,22.0,1.0,4.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,9.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.182,0.321,0.273,0.594,53.0,0.286,0.111,0.0,0.321,0.071,0.25,0.222
2023,div1,Allen County,allencountycommunitycollege,home,Ottawa University,W,11-2,20230301_tpay,15,39.0,27.0,11.0,10.0,3.0,1.0,0.0,7.0,6.0,0.0,6.0,8.0,15.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,,0.37,0.487,0.704,1.191,107.0,0.5,0.579,0.0,0.205,0.154,0.051,0.75
2023,div1,Allen County,allencountycommunitycollege,home,Pratt,W,9-0,20230202_4rem,11,31.0,26.0,9.0,11.0,1.0,0.0,1.0,7.0,2.0,0.0,3.0,8.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.423,0.516,0.654,1.17,105.0,0.588,0.533,0.032,0.258,0.097,0.161,0.375
2023,div1,Allen County,allencountycommunitycollege,home,Southwestern College,W,4-0,20230405_2qfq,12,25.0,21.0,4.0,4.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.19,0.32,0.286,0.606,54.0,0.267,0.5,0.0,0.24,0.04,0.2,0.167
2023,div1,Allen County,allencountycommunitycollege,home,Southwestern College,W,5-1,20230405_rp2b,12,28.0,20.0,5.0,7.0,1.0,0.0,0.0,2.0,3.0,2.0,6.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.35,0.464,0.45,0.914,82.0,0.368,0.385,0.0,0.071,0.214,-0.143,3.0
2023,div1,Allen County,allencountycommunitycollege,home,UA Rich Mountain,W,5-1,20230304_yywq,7,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
