date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 26,home,Rowan Burlington,L,8-1,8,1,7.0,win,20200226_tegz,0,0,0,0,1.1,3,3,2,13.50,,2,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 5,home,Raritan Valley,W,12-9,12,9,3.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 11,home,Morris,W,10-9,10,9,1.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 12,home,RCSJ Gloucester,L,12-2,12,2,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 13,home,RCSJ Gloucester,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 13,home,RCSJ Gloucester,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 17,home,Bryant & Stratton (VA),,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 18,home,Bryant & Stratton (VA),,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 19,home,Catawba Valley,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 23,home,RCSJ Cumberland,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 24,home,RCSJ Cumberland,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 25,home,RCSJ Cumberland,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 27,home,Bergen,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 28,home,Bergen,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 28,home,Bergen,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 30,home,Middlesex College,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 31,home,Middlesex College,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Mar 31,home,Middlesex College,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 3,home,Brookdale,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 4,home,Brookdale,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 4,home,Brookdale,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 8,home,Lehigh Carbon,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 10,home,Union,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 11,home,Union,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 11,home,Union,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 16,home,Valley Forge Military,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 17,home,Atlantic Cape,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 18,home,Atlantic Cape,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 18,home,Atlantic Cape,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
Apr 21,home,Montgomery County,,,,,10.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Camden County,camdencountycollege,joerappaportrv06,Joe Rappaport
