date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 8,home,Baker University (JV),W,11-0,11,0,11,win,20240408_mn86,0,0,0,0,1.0,1,,,0.00,1.00,,1,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Apr 4,home,Garden City,W,22-6,22,6,16,win,20240404_91mo,0,0,0,0,2.2,3,2,2,6.75,1.88,2,1,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Mar 30,home,Hutchinson,L,11-1,11,1,10,win,20240330_e4e3,0,0,0,0,2.1,5,5,5,19.29,3.00,2,2,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Mar 21,home,Barton,L,22-12,22,12,10,win,20240321_ool1,0,0,0,0,1.0,1,3,3,27.00,4.00,3,1,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Mar 16,home,Cloud County,L,11-0,11,0,11,win,20240316_bfg1,0,0,0,0,0.1,,3,3,81.00,9.00,3,1,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Mar 9,home,Dodge City,L,13-9,13,9,4,win,20240309_b0is,0,0,0,0,1.0,1,2,2,18.00,3.00,2,,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Mar 6,home,Dodge City,L,23-13,23,13,10,win,20240306_eh7t,0,0,1,0,1.1,1,4,4,27.00,3.75,4,,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Mar 2,home,Highland (KS),W,9-5,9,5,4,win,20240302_5oyy,0,0,0,0,2.2,3,2,1,3.38,1.88,2,4,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Feb 18,home,Northern Oklahoma Tonkawa,W,9-5,9,5,4,win,20240218_ryxx,0,0,0,0,1.0,2,4,3,27.00,4.00,2,2,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Feb 15,home,Northern Oklahoma Tonkawa,W,13-3,13,3,10,win,20240215_0z49,0,0,0,0,1.0,1,,,0.00,2.00,1,1,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Feb 9,home,Fort Scott,W,20-10,20,10,10,win,20240209_jeow,0,0,0,0,1.1,4,5,4,27.00,4.50,2,2,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
Feb 1,home,Allen County,W,10-4,10,4,6,win,20240201_vcfr,0,1,0,0,3.0,,,,0.00,.33,1,5,2024,2023-24,div1,Pratt,prattcommunitycollege,lincolnbuttcv87,Lincoln Butt
