date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 2  #,home,CSU Club,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 8  #,home,Colorado School of Mines,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 15  #,home,CSU Pueblo,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 16  #,home,Cherry Creek,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 22  #,home,Pueblo West,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 23  #,home,Adams State University,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 27  #,home,ABA,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Sep 28  #,home,ABA,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Oct 5  #,home,West Texas A&M,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Oct 8  #,home,Slammers,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Oct 11  #,home,Sophomore Showcase,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Oct 20  #,home,Luna,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Oct 27  #,home,BC Grinders,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Oct 28  #,home,New Mexico Highlands,,,,,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 1,home,GateWay (AZ),L,10-7,10,7,3.0,win,20190201_jpho,1,0,0,0,2.0,1,2,2,9.00,6,1,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 2,home,South Mountain,L,10-3,10,3,7.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 2,home,Central Arizona,L,10-0,10,0,10.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 3,home,Southern Nevada,L,13-2,13,2,11.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 8,home,Eastern Arizona,L,3-0,3,0,3.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 8,home,Eastern Arizona,W,4-1,4,1,3.0,win,20190208_wldq,0,1,0,0,5.0,1,,,0.00,2,3,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 9,home,Eastern Arizona,W,9-0,9,0,9.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 9,home,Eastern Arizona,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 15,home,New Mexico Military,L,7-6,7,6,1.0,win,20190215_jyo2,1,0,0,0,6.0,5,5,5,7.50,2,11,2,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 16,home,New Mexico,L,16-1,16,1,15.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 16,home,New Mexico Military,W,11-8,11,8,3.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 17,home,Garden City,L,7-5,7,5,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 20,home,Luna,W,7-6,7,6,1.0,win,20190220_u7my,0,1,0,0,2.1,4,,,0.00,,3,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 25,home,Southeast,W,6-5,6,5,1.0,win,20190225_kr2o,1,0,0,0,2.1,4,4,4,15.43,3,1,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 25,home,Southeast,W,3-2,3,2,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Feb 26,home,Southeast,W,14-1,14,1,13.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 1,home,Northeastern,W,13-9,13,9,4.0,win,20190301_19t3,1,1,0,0,6.0,7,6,2,3.00,1,7,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 2,home,Northeastern,W,10-3,10,3,7.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 2,home,Northeastern,W,11-7,11,7,4.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 5,home,Adams State University JV,,,,,4.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 9,home,Western Nebraska,L,6-5,6,5,1.0,win,20190309_xti3,1,0,0,0,5.0,7,1,0,0.00,5,5,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 10,home,Western Nebraska,L,10-3,10,3,7.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 10,home,Western Nebraska,W,11-3,11,3,8.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 12,home,Adams State University JV,,,,,8.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 12,home,Adams State University JV,,,,,8.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 15,home,CSU-Fort Collins,,,,,8.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 16,home,CSU-Fort Collins,W,11-0,11,0,11.0,win,20190316_c7cg,1,1,0,0,7.0,1,0,0,0.00,2,9,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 16,home,CSU-Fort Collins,W,17-1,17,1,16.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 19,home,Luna,L,10-7,10,7,3.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 22,home,McCook,L,2-1,2,1,1.0,win,20190322_z3dk,1,0,1,0,8.2,11,2,2,2.08,5,6,1,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 23,home,McCook,W,8-3,8,3,5.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 23,home,McCook,W,9-8,9,8,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 28,home,Lamar,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 31,home,Southeast,L,4-1,4,1,3.0,win,20190331_uuuu,1,0,1,0,5.1,3,4,1,1.69,3,8,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Mar 31,home,Southeast,L,5-3,5,3,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 1,home,Southeast,L,3-0,3,0,3.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 3,home,Otero,W,15-6,15,6,9.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 6,home,Lamar,W,2-1,2,1,1.0,win,20190406_zbhi,1,1,0,0,7.0,5,1,1,1.29,2,7,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 6,home,Lamar,L,8-1,8,1,7.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 7,home,Lamar,W,9-8,9,8,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 7,home,Lamar,W,4-0,4,0,4.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 14,home,Otero,W,8-4,8,4,4.0,win,20190414_vvsu,1,1,0,0,7.0,7,4,3,3.86,2,7,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 14,home,Otero,W,6-1,6,1,5.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 15,home,Otero,W,4-2,4,2,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 15,home,Otero,W,7-2,7,2,5.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 19,home,Western Nebraska,L,3-2,3,2,1.0,win,20190419_7lr3,1,0,1,0,6.0,8,3,2,3.00,2,8,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 19,home,Western Nebraska,L,5-4,5,4,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
Apr 20,home,Western Nebraska,L,13-4,13,4,9.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,anthonydurbanoqigh,Anthony Durbano
