date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 20,home,Southwest Mississippi,W,7-6,7,6,1,win,20240220_ltqy,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 16,home,Marion Military,W,12-0,12,0,12,win,20240216_5bn1,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 16,home,Marion Military,W,8-0,8,0,8,win,20240216_n07x,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 15,home,Marion Military,W,17-1,17,1,16,win,20240215_z98s,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 15,home,Marion Military,W,6-0,6,0,6,win,20240215_u4xv,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 9,home,Snead State,W,2-1,2,1,1,win,20240209_qvyx,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 9,home,Snead State,L,11-8,11,8,3,win,20240209_w3re,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 8,home,Snead State,W,9-7,9,7,2,win,20240208_8uhp,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 3,home,Southwest Virginia,W,17-0,17,0,17,win,20240203_jjyy,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
Feb 2,home,Southwest Virginia,W,11-1,11,1,10,win,20240202_am97,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,cadentatew5ij,Caden Tate
