date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 26,home,Panola,L,9-4,9,4,5.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Jan 27,home,Panola,L,11-2,11,2,9.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Jan 27,home,Panola,L,15-6,15,6,9.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 1,home,Wharton County,L,9-1,9,1,8.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 2,home,Wharton County,W,11-10,11,10,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 2,home,Bossier Parish,L,17-6,17,6,11.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 9,home,Laredo,W,4-0,4,0,4.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 9,home,Grayson,L,6-2,6,2,4.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 10,home,Laredo,L,8-5,8,5,3.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 10,home,Navarro,L,11-3,11,3,8.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 13,home,Southwest Mississippi,L,6-4,6,4,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 13,home,Southwest Mississippi,W,6-4,6,4,2.0,win,20190213_y42j,1,1,0,0,4.1,2,4,4,8.31,4,1,1,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 16,home,St. Louis,L,15-6,15,6,9.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 16,home,St. Louis,W,4-2,4,2,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 17,home,St. Louis,L,6-4,6,4,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 17,home,Pearl River,L,23-3,23,3,20.0,win,20190217_fqut,0,0,0,0,1.1,,,,0.00,1,2,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 20,home,Hinds,L,3-1,3,1,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 20,home,Hinds,W,6-5,6,5,1.0,win,20190220_h9ls,0,0,0,0,0.2,2,2,2,27.00,,1,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 23,home,Wallace State,,,,,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 23,home,Wallace State,,,,,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 26,home,Pearl River,L,11-1,11,1,10.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Feb 26,home,Pearl River,L,18-3,18,3,15.0,win,20190226_0gai,0,0,0,0,0.1,1,,,0.00,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Mar 6,home,Jones,W,5-1,5,1,4.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Mar 6,home,Jones,L,6-3,6,3,3.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Mar 7,home,South Suburban,L,12-10,12,10,2.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Mar 8,home,Hinds,L,15-0,15,0,15.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Mar 8,home,Dakota State,W,11-0,11,0,11.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
Mar 9,home,Mississippi Gulf Coast,L,9-8,9,8,1.0,win,,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,christophercourvilleehmf,Christopher Courville
