date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,Cleveland State,L,20-13,20,13,7.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Jan 30,home,Cleveland State,W,10-0,10,0,10.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Jan 31,away,Cleveland State,L,4-3,4,3,1.0,win,20210131_npva,0,0,0,0,3.0,2,,,0.00,1,5,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Jan 31,away,Cleveland State,W,15-4,15,4,11.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 4,away,Roane State,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 4,away,Roane State,W,7-3,7,3,4.0,win,20210204_muml,1,1,0,0,4.0,3,1,1,2.25,1,3,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 6,home,Roane State,L,12-1,12,1,11.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 6,home,Roane State,W,12-1,12,1,11.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 10,away,Chattanooga State,L,7-2,7,2,5.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 10,away,Chattanooga State,L,9-1,9,1,8.0,win,20210210_orwl,0,0,0,0,1.2,3,7,3,16.20,5,2,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 17,home,Dyersburg State,,,,,8.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
Feb 17,home,Dyersburg State,,,,,8.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,garretthill3rmd,Garrett Hill
