date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 23,home,Carl Albert State,L,9-5,9,5,4.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Mar 23,home,Carl Albert State,W,11-9,11,9,2.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Mar 28,home,Carl Albert State,L,3-1,3,1,2.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Mar 31,home,Murray State,L,14-3,14,3,11.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Mar 31,home,Murray State,L,5-0,5,0,5.0,win,20170331_bwja,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 1,home,Seminole State (OK),L,23-10,23,10,13.0,win,20170401_751q,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 1,home,Murray State,L,15-13,15,13,2.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 6,home,Arkansas Baptist,L,9-3,9,3,6.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 6,home,Arkansas Baptist,W,4-2,4,2,2.0,win,20170406_uhr2,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 8,home,Arkansas Baptist,W,12-11,12,11,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 8,home,Arkansas Baptist,W,19-9,19,9,10.0,win,20170408_gxv0,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 13,home,Rose State,W,10-0,10,0,10.0,win,20170413_juwm,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 13,home,Rose State,W,9-2,9,2,7.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 15,home,Rose State,W,13-3,13,3,10.0,win,20170415_81ui,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 15,home,Rose State,W,17-4,17,4,13.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 19,home,Connors State,L,8-1,8,1,7.0,win,20170419_1nin,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 19,home,Connors State,L,13-0,13,0,13.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 23,home,Connors State,L,3-2,3,2,1.0,win,20170423_0f1s,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 23,home,Connors State,W,12-11,12,11,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 24,home,Bacone JV,W,14-3,14,3,11.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 27,home,Seminole State (OK),W,7-3,7,3,4.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 27,home,Seminole State (OK),L,5-4,5,4,1.0,win,20170427_l3sr,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 29,home,Seminole State (OK),W,17-16,17,16,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
Apr 29,home,Seminole State (OK),W,10-6,10,6,4.0,win,20170429_5ncz,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 4,home,Northeastern Oklahoma A&M,L,5-0,5,0,5.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 4,home,Northeastern Oklahoma A&M,W,18-8,18,8,10.0,win,20170504_50cf,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 6,home,Northeastern Oklahoma A&M,W,16-11,16,11,5.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 6,home,Northeastern Oklahoma A&M,L,21-10,21,10,11.0,win,20170506_4kb7,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 11,home,Arkansas Baptist,W,8-7,8,7,1.0,win,20170511_vanh,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 12,home,Seminole State (OK),L,10-8,10,8,2.0,win,20170512_smqj,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
May 13,home,Connors State,L,10-0,10,0,10.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,zachbaughesai,Zach Baugh
