date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 22,home,Pensacola State,W,7-6,7,6,1.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Jan 23,home,Palm Beach State,W,8-7,8,7,1.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Jan 27,home,South Florida State,L,15-6,15,6,9.0,win,20210127_w90h,0,0,0,0,2.0,3,4,3,13.50,3,2,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Jan 29,home,Eastern Florida State,W,4-1,4,1,3.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Jan 30,home,Eastern Florida State,L,3-2,3,2,1.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 1,home,St. Petersburg,L,7-4,7,4,3.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 5,home,Indian River State,W,9-3,9,3,6.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 6,home,Indian River State,,,,,6.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 6,home,Indian River State,,,,,6.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 8,home,Pasco-Hernando State,L,17-4,17,4,13.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 10,home,St. Petersburg,W,8-3,8,3,5.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 13,home,Miami Dade,,,,,5.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 15,home,Polk State,L,9-2,9,2,7.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 17,home,Polk State,W,13-0,13,0,13.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 20,home,ASA Miami,,,,,13.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 20,home,ASA Miami,,,,,13.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 21,home,St. Petersburg,W,11-9,11,9,2.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 21,home,St. Petersburg,L,7-3,7,3,4.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 22,home,South Florida State,W,7-3,7,3,4.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 24,home,Hillsborough,L,7-2,7,2,5.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Feb 26,home,Eastern Florida State,W,9-4,9,4,5.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
Mar 1,home,Lake-Sumter State,L,7-6,7,6,1.0,win,,,,,,,,,,,,,2021,2020-21,div1,Seminole State (FL),seminolestatecollegeofflorida,brendanparksp3yb,Brendan Parks
