date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Oct 12,home,St. Mary's College,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Oct 20,home,So. Md. Sting,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Feb 17,home,Virginia Peninsula Community College,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Feb 17,home,Virginia Peninsula Community College,L,7-2,7,2,5.0,win,20200217_rkk6,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Feb 22,home,Finger Lakes,L,17-10,17,10,7.0,win,20200222_ab3y,0,0,0,0,0.1,4,4,2,54.00,1,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Feb 22,home,Finger Lakes,W,11-1,11,1,10.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 1,home,Prince George's,L,2-0,2,0,2.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 1,home,Prince George's,W,1-0,1,0,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 4,home,Virginia Peninsula Community College,W,17-2,17,2,15.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 4,home,Virginia Peninsula Community College,W,12-1,12,1,11.0,win,20200304_4fof,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 7,home,Bronx,W,11-0,11,0,11.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 7,home,Bronx,W,8-4,8,4,4.0,win,20200307_hzl0,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 8,home,Delaware Tech,W,10-4,10,4,6.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 8,home,Delaware Tech,L,24-7,24,7,17.0,win,20200308_tckr,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 10,home,Montgomery,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 10,home,Montgomery,L,16-11,16,11,5.0,win,20200310_faod,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 11,home,Ulster County,W,13-3,13,3,10.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 11,home,Ulster County,W,6-2,6,2,4.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 14,home,CCBC Dundalk,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
Mar 14,home,CCBC Dundalk,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div2,Southern Maryland,collegeofsouthernmaryland,seanmasonr43w,Sean Mason
