date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 5,home,vs. Southwestern,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Sep 10  #,home,Evangel University,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Sep 13,home,vs. Sophomore Showcase,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Sep 20,home,vs. Juco Invite,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Sep 22,home,vs. BBA Titans,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Sep 27,home,vs. Seminole State (OK),,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Sep 30,away,North Arkansas,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Oct 4,away,Evangel University,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Oct 7,away,Southwest Baptist University,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Oct 10  #,home,vs. Barton,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 8,home,Cloud County,L,6-2,6,6,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 8,home,Cloud County,L,16-7,16,16,0,0,0,0,1.1,3,2,1,6.75,,2,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 16,home,Minnesota Post Grad,W,11-1,11,11,0,0,0,0,1.0,,,,0.00,,3,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 16,home,Minnesota Post Grad,W,9-0,9,9,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 17,home,Minnesota Post Grad,W,11-1,11,11,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 17,home,Minnesota Post Grad,W,12-5,12,12,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 21,home,Ellsworth,L,8-6,8,8,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 21,home,Ellsworth,W,12-1,12,12,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 22,home,Ellsworth,W,14-1,14,14,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 22,home,Ellsworth,W,6-5,6,6,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 29,home,Baker University,W,7-1,7,7,0,0,0,0,2.1,2,,,0.00,,4,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Feb 29,home,Baker University,W,5-1,5,5,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 2,away,Ottawa University JV,W,15-1,15,15,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 2,home,Ottawa University JV,W,12-0,12,12,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 3,home,Baker University JV,W,15-7,15,15,0,0,0,0,1.1,2,1,1,6.75,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 5,home,Pratt,W,11-4,11,11,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 5,home,Pratt,L,16-11,16,16,0,0,0,0,1.0,,,,0.00,1,2,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 7,away,Pratt,W,11-4,11,11,0,0,0,0,0.2,,,,0.00,,2,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 7,away,Pratt,W,17-7,17,17,0,1,0,0,1.1,2,2,2,13.50,3,1,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 9,home,Evangel University,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 9,home,Evangel University,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 10,home,vs. Crowder,L,20-6,20,20,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 11,home,Johnson County,L,16-2,16,16,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 11,home,Johnson County,W,9-7,9,9,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 13,away,Johnson County,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 13,away,Johnson County,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 16,home,North Arkansas,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
Mar 16,home,North Arkansas,,,,,,,,,,,,,,,,2020,2019-20,div1,Fort Scott,fortscottcommunitycollege,zaccwhisler6dsi,Zacc Whisler
