date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 6,home,Kankakee,L,5-3,5,3,2.0,win,20160306_mslk,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 6,home,Thomas University,L,13-4,13,4,9.0,win,20160306_qmp4,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 8,home,Parkland,L,4-2,4,2,2.0,win,20160308_2sxx,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 8,home,Parkland,L,9-1,9,1,8.0,win,20160308_pa69,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 9,home,Gulf Coast State,L,10-0,10,0,10.0,win,20160309_q4cv,0,0,0,0,0.1,3,5,3,81.00,1,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 10,home,Kankakee,L,3-2,3,2,1.0,win,20160310_g409,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 11,home,Faulkner University JV,W,8-4,8,4,4.0,win,20160311_bjzc,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 12,home,Lewis & Clark,L,9-1,9,1,8.0,win,20160312_8yyz,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 18,home,DuPage,W,6-1,6,1,5.0,win,20160318_nwrd,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 22,home,Marian University JV,W,7-0,7,0,7.0,win,20160322_e1d7,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 22,home,Marian University JV,W,8-3,8,3,5.0,win,20160322_54yq,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 24,home,Rockford University JV,,,,,5.0,win,,,,,,,,,,,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 24,home,Rockford University,,,,,5.0,win,,,,,,,,,,,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 26,home,Prairie State,W,5-4,5,4,1.0,win,20160326_lgci,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 26,home,Prairie State,W,7-1,7,1,6.0,win,20160326_lfxo,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 29,home,McHenry County,L,10-4,10,4,6.0,win,20160329_c0n9,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 29,home,McHenry County,L,7-1,7,1,6.0,win,20160329_mf43,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Mar 31,home,Triton,L,13-5,13,5,8.0,win,20160331_h2k7,0,0,0,0,1.1,4,5,5,33.75,2,1,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Apr 2,home,Moraine Valley,W,11-3,11,3,8.0,win,20160402_wmhk,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Apr 2,home,Moraine Valley,W,3-2,3,2,1.0,win,20160402_l0f8,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
Apr 3,home,Kishwaukee,L,9-8,9,8,1.0,win,20160403_dst5,0,0,0,0,0.0,,,,0.00,,,2016,2015-16,div2,Lake County,collegeoflakecounty,jakobpetersonrdi4,Jakob Peterson
