date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 26,home,Panola,L,9-4,9,4,5.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Jan 27,home,Panola,L,11-2,11,2,9.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Jan 27,home,Panola,L,15-6,15,6,9.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 1,home,Wharton County,L,9-1,9,1,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 2,home,Wharton County,W,11-10,11,10,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 2,home,Bossier Parish,L,17-6,17,6,11.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 9,home,Laredo,W,4-0,4,0,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 9,home,Grayson,L,6-2,6,2,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 10,home,Laredo,L,8-5,8,5,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 10,home,Navarro,L,11-3,11,3,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 13,home,Southwest Mississippi,L,6-4,6,4,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 13,home,Southwest Mississippi,W,6-4,6,4,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 16,home,St. Louis,L,15-6,15,6,9.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 16,home,St. Louis,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 17,home,St. Louis,L,6-4,6,4,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 17,home,Pearl River,L,23-3,23,3,20.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 20,home,Hinds,L,3-1,3,1,2.0,win,20190220_zf8z,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 20,home,Hinds,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 23,home,Wallace State,,,,,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 23,home,Wallace State,,,,,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
Feb 26,home,Pearl River,L,11-1,11,1,10.0,win,,,,,,,,,,,,,2019,2018-19,div1,Baton Rouge,batonrougecommunitycollege,elijahmundyj5ik,Elijah Mundy
