date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 23,home,Raritan Valley,L,11-7,11,7,4.0,win,20200223_2i0y,0,0,1,0,1.1,5,5,4,27.00,1,1,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Feb 23,home,Raritan Valley,W,5-4,5,4,1.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 2,home,Sussex County,L,11-0,11,0,11.0,win,20200302_vkvv,0,0,0,0,1.2,6,4,4,21.60,1,3,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 7,home,Virginia Peninsula Community College,L,10-5,10,5,5.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 8,home,Virginia Peninsula Community College,L,7-3,7,3,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 8,home,Virginia Peninsula Community College,W,6-3,6,3,3.0,win,20200308_5s63,0,1,0,0,4.1,4,1,1,2.08,1,3,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 11,home,UConn Avery Point,L,12-8,12,8,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 13,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 13,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 14,home,Raritan Valley,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 14,home,Raritan Valley,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 19,home,Union,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 21,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 21,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 24,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 26,home,Sullivan County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 27,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 28,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 28,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 29,home,Orange County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Mar 29,home,Orange County,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Apr 7,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Apr 10,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Apr 11,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
Apr 11,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,jasonverasr58o,Jason Veras
