date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,home,Texas Post Grad,W,16-4,16,4,12,win,20230128_vn4b,5,1,3,1,,,1,,,,,,,,4,1,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Jan 28,home,Texas Post Grad,W,9-1,9,1,8,win,20230128_75tl,3,2,2,,,1,1,1,1,,,,,,5,1,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 4,home,Seminole State (OK),W,10-6,10,6,4,win,20230204_uc7h,4,0,1,,,,0,,2,,,,,,1,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 6,home,McCook,W,9-3,9,3,6,win,20230206_gdaa,1,0,0,,,,0,1,,,,2,,,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 6,home,Dallas College - North Lake,W,8-2,8,2,6,win,20230206_u8ze,2,1,0,,,,0,,,,,2,,,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 13,home,Dallas College - Richland,W,20-10,20,10,10,win,20230213_xjxy,2,1,1,,,1,4,1,1,,,,,,4,1,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 22,home,Kellogg,W,10-2,10,2,8,win,20230222_vg94,3,0,0,,,,1,1,,,,,1,,0,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 26,home,North Central Texas,W,15-3,15,3,12,win,20230226_3sg0,4,0,1,,,,0,,1,,,,,,1,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 26,home,North Central Texas,W,4-1,4,1,3,win,20230226_o13k,4,0,1,,,,0,,1,,,,,,1,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Feb 27,home,Dallas College - Richland,W,10-8,10,8,2,win,20230227_td4p,4,1,0,,,,0,1,,2,,,,,0,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 4,home,East Central (MS),W,9-8,9,8,1,win,20230304_war7,3,0,1,,,,0,,1,,,1,,,1,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 11,home,Northern Oklahoma Tonkawa,W,10-1,10,1,9,win,20230311_ok1m,3,1,0,,,,0,1,,,,,,,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 11,home,Northern Oklahoma Tonkawa,W,9-8,9,8,1,win,20230311_707w,3,1,0,,,,0,1,1,,,1,,,0,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 17,home,SAU Tech,W,11-9,11,9,2,win,20230317_3cgi,5,0,1,,,,0,,2,,,,,,1,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 18,home,SAU Tech,W,5-3,5,3,2,win,20230318_0tdv,1,0,1,,,,2,,,,,,,,1,0,,,,,1,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 23,home,National Park,W,6-4,6,4,2,win,20230323_gub0,4,0,0,,,,0,,2,,,,,,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Mar 24,home,National Park,W,9-7,9,7,2,win,20230324_07b1,3,1,0,,,,0,,1,,,,,,0,0,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Apr 1,home,Northern Oklahoma Enid,W,9-8,9,8,1,win,20230401_mcyi,3,0,0,,,,0,1,1,,,,,,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
Apr 1,home,Northern Oklahoma Enid,W,12-2,12,2,10,win,20230401_und9,4,0,0,,,,0,1,1,,,,,,0,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,ashtoninmang0c5,Ashton Inman
