date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 2,home,Vernon,W,6-4,6,4,2,win,20190202_b6v5,1,0,0,,,,2,,,,,,2,,0,0,,1,,,3,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 2,home,Vernon,L,12-4,12,4,8,win,20190202_g9g9,3,1,1,1,,,0,,2,,,,,,2,1,,,,,3,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 4,home,Hill,L,13-3,13,3,10,win,20190204_iv84,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 13,home,LeTourneau University J.V.,W,13-4,13,4,9,win,20190213_juyq,3,2,1,1,,,2,1,1,1,,,,,2,1,,,1,,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 13,home,LeTourneau University J.V.,W,8-2,8,2,6,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 16,home,Tyler,W,4-2,4,2,2,win,20190216_s6tj,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 16,home,Tyler,L,6-4,6,4,2,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 20,home,Dallas College - Richland,L,6-4,6,4,2,win,20190220_31gl,4,0,1,,,,2,,1,,,,,,1,0,,1,1,1.00,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 24,home,Dallas College - Richland,W,10-9,10,9,1,win,20190224_uc8j,3,2,0,,,,0,1,1,,,1,,,0,0,,,,,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 25,home,Dallas College - Richland,W,8-3,8,3,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 26,home,Southwest Collegiate Prep,W,15-11,15,11,4,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 26,home,Southwest Collegiate Prep,W,8-7,8,7,1,win,20190226_76gv,4,0,2,,,,1,,,,,,1,,2,0,,1,1,1.00,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Feb 27,home,Dallas College - Mountain View,W,21-9,21,9,12,win,20190227_1etd,4,1,1,,,,3,,1,,,,2,,1,0,,2,,,6,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 1,home,Dallas College - Mountain View,W,13-0,13,0,13,win,20190301_olip,2,0,1,,,,3,,,,,2,,,1,0,,,1,,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 2,home,Dallas College - Mountain View,L,13-2,13,2,11,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 5,home,LeTourneau University J.V.,W,10-6,10,6,4,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 5,home,LeTourneau University J.V.,W,9-6,9,6,3,win,20190305_s43k,3,1,2,1,1,,3,1,,,,,,,5,2,,,1,,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 6,home,Dallas College - North Lake,L,6-2,6,2,4,win,20190306_i0ra,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 7,home,Dallas College - North Lake,L,8-1,8,1,7,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 8,home,Dallas College - North Lake,L,14-4,14,4,10,win,20190308_p8ls,3,1,1,,,,0,1,2,,,,,,1,0,,,,,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 19,home,Southwest Collegiate Prep,W,5-2,5,2,3,win,20190319_781a,4,1,1,,,,1,,,,,,,,1,0,,1,2,0.50,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 19,home,Southwest Collegiate Prep,W,17-3,17,3,14,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 20,home,Dallas College - Eastfield,W,6-5,6,5,1,win,20190320_2dp0,2,2,1,,,,0,1,,,,,,,1,0,,,1,,3,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 22,home,Dallas College - Eastfield,W,11-6,11,6,5,win,20190322_za3q,4,1,1,1,,,0,,1,,,,,,2,1,,,2,,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 23,home,Dallas College - Eastfield,L,6-1,6,1,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 27,home,Dallas College - Brookhaven,W,10-4,10,4,6,win,20190327_bflq,4,1,2,1,,1,1,,1,,,1,,,6,2,,1,,,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 28,home,Dallas College - Brookhaven,L,21-9,21,9,12,win,20190328_tyn9,5,1,2,,,,0,,,,,,,,2,0,,1,1,1.00,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Mar 29,home,Dallas College - Brookhaven,L,12-4,12,4,8,win,20190329_lgxo,3,1,0,,,,0,1,,,,,,,0,0,,2,1,2.00,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 3,home,Dallas College - Richland,L,11-10,11,10,1,win,20190403_fdpr,5,1,2,,,,0,,2,,,,,,2,0,,,1,,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 5,home,Dallas College - Richland,W,10-8,10,8,2,win,20190405_iqrg,3,1,1,,,,0,1,1,,,,,,1,0,,,1,,4,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 8,home,Dallas College - Richland,W,17-7,17,7,10,win,20190408_10o1,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 9,home,Jarvis Christian College J.V.,W,15-3,15,3,12,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 9,home,Jarvis Christian College J.V.,W,6-4,6,4,2,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 10,home,Dallas College - Mountain View,W,15-5,15,5,10,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
Apr 11,home,Dallas College - Mountain View,W,21-8,21,8,13,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,blakebirdwellezr1,Blake Birdwell
