date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,Faulkner University,W,18-9,18,9,9,win,20240130_or6m,2,0,1,1,,,1,,,,,,,,2,1,,,,,2,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Jan 30,home,Faulkner University,W,16-1,16,1,15,win,20240130_4mii,3,3,1,1,,,1,1,,3,,,,,2,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Feb 2,home,Calhoun,W,8-4,8,4,4,win,20240202_lyhu,2,1,1,,,,0,,,,,,,,1,0,,,,,2,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Feb 3,home,Southern Union State,W,10-7,10,7,3,win,20240203_rz7h,3,1,1,,,,0,,1,,,,,,1,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Feb 9,home,Chattahoochee Valley,W,8-7,8,7,1,win,20240209_p8ym,4,1,2,,,,0,,,,,,,,2,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Feb 15,home,Snead State,W,6-5,6,5,1,win,20240215_kw80,4,0,1,,,,1,,1,,,,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Feb 19,home,Huntingdon College,W,7-2,7,2,5,win,20240219_lung,3,1,1,,,,0,,,2,,,,,1,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Feb 19,home,Huntingdon College,W,13-0,13,0,13,win,20240219_970y,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 3,home,Enterprise State,W,10-0,10,0,10,win,20240303_1zlg,3,0,1,,,,1,,,,,,,,1,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 7,home,Wallace-Selma,W,11-1,11,1,10,win,20240307_96u6,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 7,home,Wallace-Selma,W,11-0,11,0,11,win,20240307_kxg5,2,1,2,,,,0,1,,,1,,,,2,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 10,home,Wallace-Selma,W,4-0,4,0,4,win,20240310_hv3e,3,2,2,,,,1,,,1,,,,,2,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 10,home,Wallace-Selma,W,10-0,10,0,10,win,20240310_wj4p,1,0,0,,,,0,1,1,,,,,,0,0,,,,,2,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 14,home,Marion Military,W,8-5,8,5,3,win,20240314_kiad,2,0,1,,,,1,,,1,,1,,,1,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 14,home,Marion Military,W,11-7,11,7,4,win,20240314_q3xp,3,2,2,,,,0,1,,1,,,,,2,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 16,home,Marion Military,W,6-5,6,5,1,win,20240316_zwe1,4,0,2,,,,0,,,,,,,,2,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
Mar 16,home,Marion Military,W,5-2,5,2,3,win,20240316_valm,3,0,1,,,,0,,,,,,,,1,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,alexmccranie7qi7,Alex McCranie
