date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 25,home,St. Louis,W,2-1,2,1,1,win,20240225_zsiz,3,1,1,,,1,2,,,,,,,,4,1,,,,,3,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Mar 16,home,Harper,W,11-4,11,4,7,win,20240316_sam4,2,2,1,,,,1,,,,,1,1,,1,0,,,,,4,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Mar 19,home,McHenry County,W,7-0,7,0,7,win,20240319_1kwn,4,1,1,,,,0,,,,,,,,1,0,,,,,4,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Mar 26,home,Morton,W,16-11,16,11,5,win,20240326_hctt,4,3,3,1,,1,4,1,,1,,,,,7,2,,,,,5,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Mar 27,home,Elgin,W,7-6,7,6,1,win,20240327_czl9,4,1,1,,,,0,,,,,,,,1,0,,,,,4,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Mar 29,home,Milwaukee Area Tech,W,9-6,9,6,3,win,20240329_ekxk,3,1,2,1,,,3,1,,,,,,,3,1,,,,,4,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Apr 8,home,South Suburban,W,8-3,8,3,5,win,20240408_o5sq,5,2,2,,,,1,,1,1,,,,,2,0,,,,,5,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Apr 13,home,Olive-Harvey,W,7-0,7,0,7,win,20240413_3l5v,5,1,2,,1,,0,,,,,,,,4,1,,,,,5,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Apr 14,home,McHenry County,W,3-1,3,1,2,win,20240414_xx6w,4,1,0,,,,0,,1,,,,,,0,0,,,,,4,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Apr 24,home,Oakton,W,11-9,11,9,2,win,20240424_inc9,6,2,4,1,,,1,,1,,,,,,5,1,,,,,6,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
Apr 25,home,Moraine Valley,W,3-2,3,2,1,win,20240425_zlmh,3,2,2,,,,0,1,,,,,,,2,0,,,,,4,2024,2023-24,div1,Triton,tritoncollege,aidenknipper2cyb,AIDEN KNIPPER
