date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 4,home,Cecil,W,13-8,13,8,5,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 6,home,Montgomery,L,10-5,10,5,5,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 6,home,Montgomery,L,4-3,4,3,1,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 9,home,CCBC Catonsville,L,12-1,12,1,11,win,20210309_9tb4,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 11,home,CCBC Catonsville,L,13-5,13,5,8,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 13,home,Southern Maryland,L,9-1,9,1,8,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 13,home,Southern Maryland,L,5-1,5,1,4,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 19,home,Cecil,L,11-7,11,7,4,win,20210319_f7hg,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 20,home,Anne Arundel,W,7-5,7,5,2,win,20210320_pzm2,1,0,0,,,,0,3,1,1,,,,,0,0,,,,,4,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
Mar 20,home,Anne Arundel,L,14-10,14,10,4,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,CCBC Dundalk,ccbcdundalk,aaronperezqw05,Aaron Perez
