date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 9,home,Montgomery,L,5-4,5,4,1.0,win,20190309_c8r5,3,0,0,,,,0,,1,,,,,,0,0,,,2,,3,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 9,home,Montgomery,W,7-5,7,5,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 10,home,Central Florida,L,18-2,18,2,16.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 11,home,Monroe CC,W,14-7,14,7,7.0,win,20190311_ozoe,4,1,3,1,,,2,,,,,,,,4,1,,,,,4,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 11,home,Monroe CC,W,9-6,9,6,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 13,home,Heartland,L,7-4,7,4,3.0,win,20190313_zdx8,3,1,2,1,,,1,,,,1,,,,3,1,,,1,,3,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 13,home,Heartland,L,9-7,9,7,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 14,home,Weber University JV,W,10-0,10,0,10.0,win,20190314_fyjv,3,0,1,,,,1,,,,,,,1,1,0,,,,,4,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 15,home,Lakeland,W,14-2,14,2,12.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 19,home,Adrian College JV,W,5-3,5,3,2.0,win,20190319_543c,2,0,0,,,,0,,1,,,1,,,0,0,,,,,3,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 19,home,Adrian College JV,L,5-4,5,4,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 23,home,Mott,W,7-5,7,5,2.0,win,20190323_cszs,3,0,2,1,,,1,,,,,,,,3,1,,,,,3,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
Mar 23,home,Mott,W,7-3,7,3,4.0,win,20190323_jw7w,4,1,1,,,,1,,2,,,,,,1,0,,,,,4,2019,2018-19,div2,Jackson,jacksoncollege,joshuabeckkboy,Joshua Beck
