date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 10,home,Seward County,L,6-3,6,3,3,win,20170210_f9si,3,0,1,,,,0,,,,,,,,1,0,,1,1,1.00,3,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 10,home,Seward County,W,18-12,18,12,6,win,20170210_fv38,6,1,2,1,,,3,,,,,,,,3,1,,1,3,0.33,6,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 11,home,Seward County,W,4-2,4,2,2,win,20170211_ortq,4,0,1,1,,,0,,1,,,,,,2,1,1,2,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 11,home,Seward County,L,6-5,6,5,1,win,20170211_l5cd,4,1,2,,1,,0,,2,,,,,,4,1,,,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 16,home,Southern Idaho,L,6-1,6,1,5,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 16,home,Southern Idaho,L,8-5,8,5,3,win,20170216_5zcn,4,1,2,,,,0,,,,,,,,2,0,,,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 17,home,Southern Idaho,L,9-0,9,0,9,win,20170217_t8ao,3,0,1,1,,,0,,,,,,,,2,1,,,,,3,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Feb 17,home,Prairie Baseball Academy,L,7-6,7,6,1,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 4,home,Lamar,W,5-3,5,3,2,win,20170304_0z6b,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 4,home,Lamar,L,3-2,3,2,1,win,20170304_plev,4,0,2,,,,1,,1,,,,,,2,0,,,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 5,home,Otero,L,9-8,9,8,1,win,20170305_y8uq,4,2,2,1,,,0,,,,,,,,3,1,,,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 5,home,Otero,W,4-3,4,3,1,win,20170305_m159,6,1,2,,,,0,,1,,,,,,2,0,,,,,6,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 7,home,Williston State,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 8,home,Williston State,W,16-6,16,6,10,win,20170308_qrhs,5,3,4,,,2,6,,,,,,,,10,2,,,,,5,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 8,home,Williston State,L,8-6,8,6,2,win,20170308_eg9d,4,0,1,1,,,1,,1,,,1,,,2,1,,,,,5,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 9,home,Williston State,W,20-10,20,10,10,win,20170309_bcf3,3,3,1,,,,2,2,,,,,,,1,0,,,,,5,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 11,home,Trinidad State,W,3-2,3,2,1,win,20170311_3pqu,4,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,,0,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 11,home,Trinidad State,L,11-1,11,1,10,win,20170311_7yk8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,3,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 12,home,Trinidad State,W,5-4,5,4,1,win,20170312_4khv,3,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,,0,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 12,home,Trinidad State,L,12-10,12,10,2,win,20170312_w2wy,4,2,2,0,0,0,3,0,0,0,0,1,0,0,2,0,,0,,,5,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 15,home,Central Arizona,L,9-2,9,2,7,win,20170315_v6rm,4,1,2,2,,,0,,,,,,,,4,2,,,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 15,home,Central Arizona,W,4-1,4,1,3,win,20170315_jvgs,2,0,0,,,,0,2,1,,,,,,0,0,,,,,4,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 16,home,Phoenix,W,5-3,5,3,2,win,20170316_f33w,3,2,2,,,,0,2,,,,,,,2,0,,,,,5,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
Mar 17,home,South Mountain,L,7-0,7,0,7,win,20170317_60w2,3,0,1,,,,0,,,,,,,,1,0,,,,,3,2017,2016-17,div1,Northeastern,northeasternjuniorcollege,dakotapophameard,Dakota Popham
