date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,Cleveland State,L,20-13,20,13,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Jan 30,home,Cleveland State,W,10-0,10,0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Jan 31,home,Cleveland State,L,4-3,4,3,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Jan 31,home,Cleveland State,W,15-4,15,4,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 4,home,Roane State,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 4,home,Roane State,W,7-3,7,3,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 6,home,Roane State,L,12-1,12,1,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 6,home,Roane State,W,12-1,12,1,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 10,home,Chattanooga State,L,7-2,7,2,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 10,home,Chattanooga State,L,9-1,9,1,8.0,win,20210210_orwl,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
Feb 17,home,Dyersburg State,,,,,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Columbia State,columbiastatecommunitycollege,jacobpointer80lm,Jacob Pointer
