date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 1,home,North Central Texas,W,6-5,6,5,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 1,home,North Central Texas,L,8-4,8,4,4.0,win,20220201_cy9w,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 9,home,Carl Albert State,W,8-4,8,4,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 9,home,Carl Albert State,L,11-1,11,1,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 11,home,Barton,L,14-9,14,9,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 12,home,Barton,L,4-2,4,2,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 15,home,Western Oklahoma State,L,17-4,17,4,13.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 18,home,Hutchinson,W,7-2,7,2,5.0,win,20220218_gucs,3,2,1,,,,1,1,1,,,,,,1,0,,,,,4,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 19,home,Hutchinson,L,17-0,17,0,17.0,win,20220219_6ojz,2,0,1,,,,0,,1,,,,,,1,0,,,,,2,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 19,home,Hutchinson,L,14-2,14,2,12.0,win,20220219_alos,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Feb 27,home,Northern Oklahoma Tonkawa,L,9-8,9,8,1.0,win,20220227_ga4j,5,0,2,,,,1,,1,,,,,,2,0,,,,,5,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Mar 3,home,Seminole State (OK),L,18-9,18,9,9.0,win,20220303_3kga,3,0,0,,,,0,,1,,,,,1,0,0,,,,,4,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Mar 5,home,Seminole State (OK),L,9-0,9,0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
Mar 5,home,Seminole State (OK),L,16-9,16,9,7.0,win,20220305_byib,3,0,0,,,,0,,3,,,,,1,0,0,,,,,4,2022,2021-22,div1,Rose State,rosestatecollege,joeythorntonxnzx,Joey Thornton
