date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,Faulkner University,W,18-9,18,9,9,win,20240130_or6m,5,3,2,1,1,,6,,1,1,,,,,5,2,,,,,5,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Jan 30,home,Faulkner University,W,16-1,16,1,15,win,20240130_4mii,1,1,0,,,,0,,,,,1,,,0,0,,,,,2,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 2,home,Calhoun,W,8-4,8,4,4,win,20240202_lyhu,3,1,0,,,,0,,,,,1,,,0,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 3,home,Calhoun,W,16-6,16,6,10,win,20240203_c5z0,2,2,1,,,,1,2,,3,,,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 3,home,Southern Union State,W,10-7,10,7,3,win,20240203_rz7h,3,1,0,,,,0,1,,,,,,,0,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 9,home,Chattahoochee Valley,W,8-7,8,7,1,win,20240209_p8ym,2,2,0,,,,0,2,,1,,,,,0,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 15,home,Snead State,W,6-5,6,5,1,win,20240215_kw80,3,0,1,,,,1,2,,1,,,,,1,0,,,,,5,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 19,home,Huntingdon College,W,7-2,7,2,5,win,20240219_lung,4,2,3,,1,,1,,,,,,,,5,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 19,home,Huntingdon College,W,13-0,13,0,13,win,20240219_970y,2,1,0,,,,1,,1,,,,,,0,0,,,,,2,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Feb 29,home,Enterprise State,W,5-1,5,1,4,win,20240229_2bwd,2,1,1,,,,1,2,,1,,,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 3,home,Enterprise State,W,10-0,10,0,10,win,20240303_1zlg,3,2,2,,,1,3,,,,,1,,,5,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 7,home,Wallace-Selma,W,11-1,11,1,10,win,20240307_96u6,3,2,1,,1,,1,1,,2,,,,,3,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 7,home,Wallace-Selma,W,11-0,11,0,11,win,20240307_kxg5,3,2,1,,,,0,1,,2,,,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 10,home,Wallace-Selma,W,4-0,4,0,4,win,20240310_hv3e,3,0,1,,,,1,,,,,1,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 10,home,Wallace-Selma,W,10-0,10,0,10,win,20240310_wj4p,3,2,2,,,,3,1,,2,,,,,2,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 14,home,Marion Military,W,8-5,8,5,3,win,20240314_kiad,4,2,1,,,,0,,,1,,,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 14,home,Marion Military,W,11-7,11,7,4,win,20240314_q3xp,3,0,0,,,,0,,,,,1,,,0,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 16,home,Marion Military,W,6-5,6,5,1,win,20240316_zwe1,3,2,3,1,,,0,1,,1,,,,,4,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 16,home,Marion Military,W,5-2,5,2,3,win,20240316_valm,3,2,1,1,,,0,1,,2,,,,,2,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 21,home,Coastal Alabama - North,W,12-8,12,8,4,win,20240321_65fy,4,2,2,,,,0,1,1,2,,,,,2,0,,,,,5,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 23,home,Coastal Alabama - North,W,12-5,12,5,7,win,20240323_prnj,2,3,2,,,,0,2,,1,,,,,2,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Mar 28,home,Central Alabama,W,6-0,6,0,6,win,20240328_qlrb,3,1,1,,,,0,1,,1,,,,,1,0,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Apr 4,home,Bevill State,W,19-14,19,14,5,win,20240404_m6yk,3,2,1,,,,1,1,,,1,2,,,1,0,,,,,6,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Apr 4,home,Bevill State,W,19-8,19,8,11,win,20240404_76ru,5,2,3,,,,4,,,,,,,,3,0,,,,,5,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Apr 6,home,Bevill State,W,3-1,3,1,2,win,20240406_35xr,3,0,1,,,,0,,,1,,,,,1,0,,,,,3,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
Apr 6,home,Bevill State,W,9-2,9,2,7,win,20240406_8k96,3,3,2,1,,,2,1,,2,,,,,3,1,,,,,4,2024,2023-24,div2,Lurleen B. Wallace,lurleenbwallacecommunitycollege,tjgrinesqhi2,TJ Grines
