date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 4,home,Southwest Tennessee,W,8-0,8,0,8.0,win,20200204_fw26,4,1,1,,,1,4,,,,,,,,4,1,,,,,4,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 4,home,Southwest Tennessee,W,16-0,16,0,16.0,win,20200204_o2zh,3,3,2,,,,1,1,1,,,,,,2,0,,,,,4,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 11,home,Bevill State,,,,,16.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 11,home,Bevill State,,,,,16.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 11,home,Bevill State,,,,,16.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 11,home,Bevill State,,,,,16.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 17,home,Snead State,L,11-4,11,4,7.0,win,20200217_kmn8,2,0,0,,,,0,1,,,1,,,,0,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 17,home,Snead State,L,7-4,7,4,3.0,win,20200217_3q1d,2,0,0,,,,1,,,,,1,,,0,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 22,home,Lake Land,W,10-0,10,0,10.0,win,20200222_sn4l,3,0,1,,,,0,,,,,,,,1,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 22,home,Lake Land,W,13-6,13,6,7.0,win,20200222_i7hp,2,2,2,,,1,4,,,,,,,,5,1,,,,,2,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 25,home,Calhoun,L,8-6,8,6,2.0,win,20200225_376c,1,2,0,,,,0,3,,,,,,,0,0,,,,,4,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 25,home,Calhoun,W,2-1,2,1,1.0,win,20200225_gyql,2,0,1,,,,0,1,1,,,,,,1,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 29,home,Shawnee,W,18-0,18,0,18.0,win,20200229_v804,3,2,2,1,,,1,,,,,1,,,3,1,,,,,4,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Feb 29,home,Shawnee,W,12-1,12,1,11.0,win,20200229_hmtk,3,0,0,,,,0,1,,,,,,,0,0,,,,,4,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 1,home,Shawnee,W,19-2,19,2,17.0,win,20200301_paq5,3,2,3,,,,1,,,,,,,,3,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 1,home,Shawnee,W,11-0,11,0,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 7,home,Southeastern,L,8-5,8,5,3.0,win,20200307_wlq9,2,0,0,,,,0,1,,,,,,,0,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 7,home,Southeastern,W,8-7,8,7,1.0,win,20200307_g1xp,3,0,1,,,,0,,1,,,,,,1,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 10,home,Snead State,L,4-3,4,3,1.0,win,20200310_b6a7,1,2,1,,,,0,2,,,,,,,1,0,,,,,3,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 10,home,Snead State,W,12-2,12,2,10.0,win,20200310_jiku,4,1,2,1,,,4,,,,,,,,3,1,,,,,4,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 14,home,Meridian,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 14,home,Meridian,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 14,home,Meridian,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 14,home,Meridian,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 18,home,East Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 18,home,East Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 18,home,East Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 18,home,East Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 21,home,Pearl River,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 21,home,Pearl River,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 21,home,Pearl River,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 21,home,Pearl River,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 24,home,Holmes,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 24,home,Holmes,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 24,home,Holmes,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 24,home,Holmes,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 28,home,Jones,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 28,home,Jones,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 28,home,Jones,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 28,home,Jones,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 31,home,Calhoun,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 31,home,Calhoun,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 31,home,Calhoun,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Mar 31,home,Calhoun,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 4,home,Southwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 4,home,Southwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 4,home,Southwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 4,home,Southwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 7,home,Northeast Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 7,home,Northeast Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 7,home,Northeast Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 7,home,Northeast Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 10,home,East Central (MS),,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 10,home,East Central (MS),,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 10,home,East Central (MS),,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 10,home,East Central (MS),,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 15,home,Northwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 15,home,Northwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
Apr 15,home,Northwest Mississippi,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div2,Itawamba,itawambacommunitycollege,tylermurphypdq4,Tyler Murphy
