season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,0.0,40.0,80.0,40.0,804.0,1240.0,680.0,520.0,1107.2,200.0,640.0,0.333,5.821,109.0,2.919,13.881,7.164,12.394,2.239,0.181,7.612
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,49.0,18.0,31.0,4.0,370.2,415.0,334.0,292.0,299.77,247.0,374.0,0.367,7.099,90.0,1.931,10.089,9.092,7.288,6.005,0.824,8.12
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,35.0,7.0,7.0,0.0,261.1,259.0,154.0,91.0,224.35,140.0,231.0,0.5,3.137,203.0,1.851,8.928,7.962,7.733,4.826,0.624,5.308
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,132.0,33.0,66.0,0.0,838.1999999999999,858.0,495.0,363.0,335.61,363.0,858.0,0.333,3.898,163.0,1.424,9.213,9.213,3.604,3.898,1.082,5.315
2024,2023-24,Allen County,allencountycommunitycollege,10.0,22.0,37.0,4.0,386.6,527.0,451.0,374.0,547.99,280.0,394.0,0.373,8.707,73.0,2.781,12.268,9.172,12.757,6.518,0.511,10.499
2024,2023-24,Alpena,alpenacommunitycollege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,57.0,22.0,37.0,4.0,412.4,488.0,426.0,324.0,403.94,305.0,428.0,0.373,7.071,90.0,2.163,10.65,9.34,8.815,6.656,0.755,9.297
2024,2023-24,Amarillo College,amarillocollege,72.0,39.0,33.0,3.0,446.8,564.0,489.0,362.0,407.29,317.0,479.0,0.542,7.292,87.0,2.174,11.361,9.649,8.204,6.385,0.778,9.85
2024,2023-24,Andrew,andrewcollege,52.0,21.0,30.0,4.0,362.5,550.0,457.0,357.0,371.45,201.0,295.0,0.412,8.863,72.0,2.542,13.655,7.324,9.222,4.99,0.541,11.346
2024,2023-24,Angelina,angelinacollege,16.0,28.0,34.0,6.0,403.0,526.0,445.0,340.0,400.2,255.0,391.0,0.452,7.593,84.0,2.298,11.747,8.732,8.937,5.695,0.637,9.938
2024,2023-24,Anne Arundel,annearundelcommunitycollege,53.0,28.0,25.0,11.0,337.3,383.0,357.0,264.0,423.9,301.0,345.0,0.528,7.044,90.0,2.392,10.219,9.205,11.311,8.031,0.71,9.526
2024,2023-24,Anoka-Ramsey,anokaramseycommunitycollege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Arizona Western,arizonawesterncollege,52.0,37.0,17.0,4.0,393.5,451.0,274.0,238.0,311.52,183.0,319.0,0.685,5.443,117.0,1.938,10.315,7.296,7.125,4.186,0.587,6.267
2024,2023-24,Arkansas State Mid-South,arkansasstatemidsouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,36.0,2.0,20.0,0.0,211.8,397.0,398.0,324.0,352.21999999999997,183.0,164.0,0.091,13.768,46.0,3.537,16.87,6.969,14.967,7.776,0.52,16.912
2024,2023-24,Barton,bartoncommunitycollege,90.0,69.0,43.0,25.0,769.3,894.0,589.0,478.0,608.55,289.0,709.0,0.616,5.592,114.0,1.953,10.459,8.295,7.119,3.381,0.475,6.891
2024,2023-24,Baton Rouge,batonrougecommunitycollege,53.0,15.0,38.0,1.0,372.6,511.0,435.0,358.0,396.65,243.0,295.0,0.283,8.647,74.0,2.436,12.343,7.126,9.581,5.87,0.613,10.507
2024,2023-24,Bay College,baycollege,42.0,23.0,18.0,4.0,260.7,309.0,247.0,180.0,190.62,139.0,243.0,0.561,6.214,102.0,1.916,10.667,8.389,6.581,4.799,0.729,8.527
2024,2023-24,Bergen,bergencommunitycollege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Bevill State,bevillstatecommunitycollege,0.0,29.0,0.0,29.0,243.6,232.0,87.0,87.0,522.0,232.0,406.0,1.0,3.214,198.0,3.095,8.571,15.0,19.286,8.571,0.444,3.214
2024,2023-24,Bishop State,bishopstatecommunitycollege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Bismarck State,bismarckstatecollege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Black Hawk,blackhawkcollegemoline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Blinn,blinncollege,60.0,44.0,16.0,13.0,439.3,443.0,284.0,221.0,279.01,200.0,474.0,0.733,4.528,140.0,1.644,9.076,9.711,5.716,4.097,0.717,5.818
2024,2023-24,Borough of Manhattan,boroughofmanhattancommunitycollege,34.0,13.0,34.0,0.0,402.2,468.0,554.0,404.0,705.8100000000001,526.0,465.0,0.277,9.04,70.0,2.918,10.472,10.405,15.794,11.77,0.745,12.397
2024,2023-24,Bossier Parish,bossierparishcommunitycollege,54.0,31.0,26.0,13.0,436.4,549.0,452.0,379.0,546.76,317.0,333.0,0.544,7.816,81.0,2.511,11.322,6.868,11.276,6.538,0.58,9.322
2024,2023-24,Bronx,bronxcommunitycollege,32.0,13.0,38.0,0.0,213.9,538.0,682.0,442.0,630.14,343.0,141.0,0.255,18.597,34.0,5.461,22.637,5.933,26.514,14.432,0.544,28.696
2024,2023-24,Brookdale,brookdalecommunitycollege,208.0,182.0,26.0,0.0,1240.2,1456.0,988.0,702.0,688.74,442.0,1118.0,0.875,5.094,125.0,1.729,10.566,8.113,4.998,3.208,0.642,7.17
2024,2023-24,Brunswick,brunswickcommunitycollege,0.0,34.0,0.0,0.0,408.0,476.0,170.0,68.0,1016.26,340.0,136.0,1.0,1.5,424.0,3.658,10.5,3.0,22.418,7.5,0.335,3.75
2024,2023-24,Bryant & Stratton (OH),bryantstrattonoh,32.0,27.0,15.0,8.0,274.6,280.0,239.0,176.0,200.05,170.0,322.0,0.643,5.768,110.0,1.748,9.177,10.554,6.557,5.572,0.85,7.833
2024,2023-24,Bryant & Stratton (VA),bryantstrattoncollegeva,0.0,42.0,84.0,42.0,844.2,1302.0,714.0,546.0,1162.56,210.0,672.0,0.333,5.821,109.0,2.919,13.881,7.164,12.394,2.239,0.181,7.612
2024,2023-24,Bryant & Stratton College (WI),bryantstrattoncollegewi,48.0,75.0,52.0,19.0,922.2,1150.0,587.0,419.0,1061.72,293.0,980.0,0.591,4.089,156.0,2.398,11.223,9.564,10.362,2.859,0.276,5.729
2024,2023-24,Bunker Hill,bunkerhillcommunitycollege,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Butler,butlercommunitycollegeks,80.0,49.0,39.0,11.0,571.5,753.0,601.0,491.0,553.38,327.0,494.0,0.557,7.732,82.0,2.286,11.858,7.78,8.715,5.15,0.591,9.465
2024,2023-24,CC of Allegheny County,ccofalleghenycounty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,CCBC Catonsville,ccbccatonsville,54.0,30.0,25.0,6.0,365.2,423.0,318.0,247.0,292.7,158.0,357.0,0.545,6.087,105.0,1.96,10.424,8.798,7.213,3.894,0.54,7.837
2024,2023-24,CCBC Dundalk,ccbcdundalk,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,36.0,0.0,,,0.0,,,,,,,
2024,2023-24,CCBC Essex,ccbcessex,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,0.0,64.0,0.0,,,0.0,,,,,,,
2024,2023-24,Caldwell Tech,caldwellcommunitycollegetechnicali,0.0,0.0,0.0,0.0,3.8000000000000003,38.0,76.0,76.0,342.0,76.0,0.0,,180.0,4.0,100.0,90.0,0.0,810.0,180.0,0.222,180.0
2024,2023-24,Calhoun,calhouncommunitycollege,63.0,27.0,40.0,8.0,413.1,553.0,494.0,361.0,455.65,296.0,366.0,0.403,7.865,81.0,2.442,12.048,7.974,9.927,6.449,0.65,10.763
2024,2023-24,Camden County,camdencountycollege,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,0.0,9.0,9.0,9.0,1.0,0.0
