date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 17,home,El Paso,W,12-2,12.0,2.0,10.0,win,20170317_0z48,3.0,1.0,2.0,,,,2.0,,,,1.0,10.0,win,20170317_0z48,,1.0,,2.0,0.0,,,,,4.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 17,home,El Paso,W,10-0,10.0,0.0,10.0,win,20170317_ji63,4.0,2.0,2.0,,,2.0,3.0,,1.0,,,10.0,win,20170317_ji63,,,,8.0,2.0,,,,,4.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 18,home,El Paso,W,12-0,12.0,0.0,12.0,win,20170318_dt1k,5.0,2.0,2.0,,,1.0,3.0,,1.0,,,12.0,win,20170318_dt1k,,,,5.0,1.0,,,,,5.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 18,home,El Paso,W,9-1,9.0,1.0,8.0,win,20170318_nn2c,5.0,1.0,1.0,,,,0.0,,2.0,,,8.0,win,20170318_nn2c,,,,1.0,0.0,,,,,5.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 22,home,Midland,W,9-6,9.0,6.0,3.0,win,20170322_nwc1,2.0,2.0,1.0,,,,0.0,2.0,,,,3.0,win,20170322_nwc1,,,,1.0,0.0,,,,,4.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 24,home,Clarendon,L,8-4,8.0,4.0,4.0,win,20170324_5xfe,2.0,0.0,0.0,,,,0.0,1.0,,,,4.0,win,20170324_5xfe,,,,0.0,0.0,,,,,3.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 24,home,Clarendon,W,21-20,21.0,20.0,1.0,win,20170324_7lrj,4.0,4.0,2.0,,,1.0,1.0,2.0,,,,1.0,win,20170324_7lrj,,,,5.0,1.0,,,,,6.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 25,home,Clarendon,L,9-7,9.0,7.0,2.0,win,20170325_ulps,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,2.0,win,20170325_ulps,,,,2.0,1.0,,,,,4.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Mar 25,home,Clarendon,W,15-10,15.0,10.0,5.0,win,20170325_ibsu,5.0,2.0,4.0,1.0,,1.0,3.0,1.0,,,,5.0,win,20170325_ibsu,,,,8.0,2.0,,,,,6.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
Apr 2,home,Frank Phillips,W,18-0,18.0,0.0,18.0,win,20170402_xxhu,2.0,1.0,1.0,,,,1.0,1.0,,,,18.0,win,20170402_xxhu,,,,1.0,0.0,,,,,3.0,2017,2016-17,div1,Howard (TX),howardcollege,dougfacendozyfz,Doug Facendo
