date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 29,home,Bishop State,W,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Jan 30,home,Bishop State,W,6-4,6.0,4.0,2.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 5,home,Coastal Alabama - Bay Minette,L,7-4,7.0,4.0,3.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 5,home,Coastal Alabama - Bay Minette,W,7-5,7.0,5.0,2.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 6,home,Coastal Alabama - Bay Minette,W,3-1,3.0,1.0,2.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 6,home,Coastal Alabama - Bay Minette,L,7-0,7.0,0.0,7.0,win,20210206_x3ae,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 10,home,Andrew,L,7-2,7.0,2.0,5.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 17,home,Chattahoochee Valley,L,5-2,5.0,2.0,3.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 20,home,Wallace-Selma,W,11-1,11.0,1.0,10.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 20,home,Wallace-Selma,W,12-0,12.0,0.0,12.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 21,home,Wallace-Selma,W,16-2,16.0,2.0,14.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 21,home,Wallace-Selma,W,13-1,13.0,1.0,12.0,win,20210221_m8w0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 25,home,Gordon State,L,7-3,7.0,3.0,4.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 25,home,Gordon State,L,9-4,9.0,4.0,5.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 27,home,Gordon State,L,9-5,9.0,5.0,4.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Feb 27,home,Gordon State,W,10-5,10.0,5.0,5.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Mar 5,home,Andrew,W,11-2,11.0,2.0,9.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
Mar 9,home,Wallace-Dothan,L,12-8,12.0,8.0,4.0,win,,,,,,,,,,,,,,2021,2020-21,div1,Central Alabama,centralalabamacommunitycollege,tylerevans5wd8,Tyler Evans
